costumer_id,recom_articles
31585195778922258,"[704128001, 825600002, 736672003, 761248002, 355072002, 777504006, 706016009, 684341002, 841173002, 678965001, 717365002, 761621001, 685813007, 576661008, 784650001, 876053002, 590922001, 762261005, 685813016, 824767001, 350911002, 707743003, 399223068, 749407004, 618655006, 511828001, 653428002, 806388003, 732842021, 678153001, 910601003, 843753004, 632982059, 739529007, 817353007, 932798001, 575347003, 820563003, 901480001, 744712001, 519583045, 771005001, 529012041, 637661003, 732573001, 678280009, 700701002, 720125007, 745298001, 770578001, 895506003, 574109012, 779890001, 779250006, 772743001, 574109017, 875719003, 671783001, 719239001, 727004001, 408647009, 599580001, 798972004, 865073001, 865073002, 720125040, 585158001, 832166002, 680262003, 711462005, 720125051, 729275004, 811835004, 761968001, 623632001, 747216003, 748816005, 189616008, 781413001, 785861001, 799365003, 554598027, 571706001, 759482001, 758191001, 856527002, 733935003, 896527002, 778064028, 714927003, 731407005, 842607001, 921380001, 754404004, 798265001, 837049002, 504154027, 852174001, 312878001, 905518001, 708366004, 842062003, 874819002, 811235004, 657208001, 316441025, 682776002, 465816001, 294008005, 810520002, 781400002, 843373001, 854637002, 738713035, 860525001, 776237006, 875469007, 779842001, 832482002, 653666006, 808631002, 885047002, 674606046, 793506015, 718732001, 742924002, 611415014, 834412007, 831777001, 612193003, 399223028, 828982004, 738230004, 666581003, 775435001, 743979002, 721270012, 623115005, 536139006]"
115839770399079596,"[938624001, 644288001, 490176002, 399136004, 490176004, 562252038, 859136002, 727616003, 776885001, 771829002, 810005002, 786304005, 733749005, 816597006, 563477007, 804992016, 748566033, 755754001, 699178003, 706016015, 399061015, 399223068, 676052001, 830100002, 752020003, 602409001, 855081004, 689365040, 749214001, 835390002, 780510004, 659550006, 850259001, 918547002, 646035001, 678942011, 852584001, 662888003, 921096004, 785853001, 742525002, 762205003, 573085005, 766955001, 579541072, 754354001, 825714001, 858834002, 721298003, 875239001, 812167004, 816423005, 905365001, 749159007, 788455008, 824764001, 674492001, 823324002, 804732004, 743644005, 678942054, 682289001, 721457004, 718278002, 659462002, 616849012, 573085043, 831430008, 572998009, 554450042, 681179001, 881947001, 714790008, 751664001, 777648002, 789808002, 729936003, 708432005, 649509001, 599580042, 832453002, 770021003, 811397005, 798885001, 919365008, 640666001, 739590033, 658298006, 783707031, 717490070, 754223009, 687524003, 816591015, 889753001, 695545001, 504154027, 687524012, 695545008, 825550001, 682670002, 778062001, 636323001, 885923001, 156227001, 870528005, 670499002, 859363003, 788248001, 939160002, 700758017, 863565001, 806605001, 639192012, 723799001, 743223001, 580482011, 665975002, 699735002, 674606047, 648940001, 693612003, 537346020, 625196005, 843905001, 399201002, 748097003, 611265002, 452898029, 769814002, 634411001, 695542010, 712587003, 539723006]"
272085172814114531,"[706016001, 674400001, 355072003, 775328008, 869397001, 708021001, 567893004, 906635001, 806335001, 779871001, 707743003, 634591005, 563519006, 585812001, 902388002, 764788001, 632982059, 602985003, 688873003, 739529007, 694153007, 693321007, 747198003, 687304001, 786920002, 715624003, 682238024, 666045001, 724904009, 717490002, 736530007, 782066008, 883719001, 719239001, 156231001, 703207003, 568711001, 599580001, 372860002, 697564005, 795836005, 652337001, 865073002, 703558001, 645638001, 873158002, 711462005, 572797048, 763323002, 761648001, 909552001, 778064006, 787237001, 850917001, 554598027, 842607001, 745711001, 839311003, 537839004, 691855001, 914351002, 778064029, 721583001, 598084001, 788324009, 837049002, 504154027, 803993001, 283236014, 672590001, 775150001, 666382003, 708366004, 839683001, 683651002, 625635002, 456163009, 810520002, 710936002, 860525001, 673677002, 824813001, 768440011, 776237006, 764994001, 808578003, 800439001, 454199002, 736983002, 660599002, 456163034, 660599007, 783244001, 751372001, 834412001, 917121001, 640129002, 909601001, 723201004, 875329002, 797526003, 696587001, 598859003, 553611005]"
498133084769137863,"[729808002, 727616003, 879248004, 853792005, 652869001, 787237002, 810005002, 631536012, 770021003, 408875018, 706016015, 919365008, 824778004, 724906009, 753279001, 604015001, 818031001, 852523001, 636207006, 676052001, 676052008, 511817001, 624633001, 665657003, 883033001, 607705002, 687524014, 770345002, 852585002, 690478001, 599580083, 688105011, 834051002, 717779002, 659854010, 747939002, 629758013, 179208001, 678968001, 788248001, 921096004, 552473031, 655784007, 651869001, 712216009, 757741003, 766955001, 722349006, 726418002, 721298003, 715154004, 726226002, 712914003, 824194002, 456163030, 665975002, 699735002, 875719003, 674606047, 648940001, 734460002, 870188001, 240561001, 682289001, 881947001, 825585002, 452898029, 611020017, 677638001, 875350001, 681179001, 572582012, 562252031]"
510252261938392406,"[818320001, 637515010, 804496002, 762096004, 806528004, 797608001, 758125001, 806203001, 751175001, 637143001, 554450011, 746487005, 865799006, 879388001, 499334001, 905614004, 872475001, 759139002]"
534415048929592326,"[828992001, 817472005, 717365001, 682325001, 689109001, 554757003, 123173001, 761701002, 698949002, 850917005, 893050002, 585130007, 914319001, 717679001, 760975006, 406724001, 554772002, 646676003, 718292001, 504154021, 579541030, 572127013, 743908009, 780297002, 632982059, 693694001, 745038002, 583534002, 796137010, 719523001, 848435002, 779331001, 642051004, 794760003, 610744006, 730013001, 809549002, 840061002, 877773004, 762856014, 852498001, 781570001, 756322001, 788242001, 756322004, 722343001, 774279002, 736983002, 751591002, 671607001, 716348004, 640156004, 629420006, 684588008, 832465001, 581105002, 832465002, 251510001, 541926001, 784587002]"
540865927691223182,"[644288001, 490176002, 706016001, 906976001, 717664002, 821152003, 830016003, 776885001, 640597001, 579541004, 921226002, 699178003, 581162007, 841375001, 731743002, 707743003, 897684002, 570004011, 573716012, 632982059, 689365037, 739529007, 568137003, 780510004, 850259001, 808584001, 820360001, 893064003, 766440004, 857448004, 685448005, 799869001, 587229001, 621757003, 695421001, 573085005, 700701001, 846354001, 858834002, 788946001, 871517016, 719239001, 841383002, 400285020, 816423005, 772711004, 599580001, 823324002, 731996001, 879996001, 743644005, 626588006, 728156006, 735121001, 765169002, 865073002, 718278002, 616849012, 711462005, 779622005, 708230007, 909179001, 725552001, 751216001, 770352003, 714790017, 683024003, 790096002, 726128002, 714790024, 819717001, 664133001, 554598027, 633285002, 488561032, 787237005, 640666001, 814650001, 739503001, 842607001, 677999001, 829135004, 634411001, 714191001, 618287007, 751994016, 822180001, 775311002, 852523001, 740409001, 837049002, 399087001, 829977004, 747737001, 589924014, 690478001, 751471027, 708366004, 737710005, 399087030, 749699001, 854883003, 677347003, 914200001, 810520002, 860525001, 727917001, 687704012, 776237006, 301656017, 755362001, 736087001, 665975002, 687704027, 867948001, 711053026, 839521001, 863937003, 811670003, 815851001, 536139006]"
577908470536914638,"[465816001, 355072002, 706016001, 777504006, 189616008, 678280009, 785861001, 762261005, 759482001, 671783001, 350911002, 749407004, 408647009, 742924002, 834412007, 775435001]"
628088449402505029,"[829168001, 880000001, 600043011, 708432006, 478549001, 737221001, 507909003, 794645001, 728826002, 496762004, 585130007, 749663001, 707508001, 760084003, 824185003, 557599025, 712398001, 923134005, 661166007, 738099001, 782595001, 717251003, 734968001, 648792002, 799069001, 748269002, 768509002, 779250001, 473954015, 539217001, 775825001, 859105002, 856310001, 788006002, 765974003, 779910002, 814246002, 659302004]"
713653467416073406,"[842112001, 863477001, 689109003, 551370001, 685066002, 635274003, 934122004, 797567002, 556255003, 563519008, 589748001, 752020002, 770825001, 787561003, 735550001, 879294002, 597918001, 618942001, 756094001, 722376001, 762856008, 720125001, 572797001, 767687001, 812167002, 746087001, 790663003, 852775002, 861767001, 746076001, 798407010, 717884003, 795761001, 681916009, 705734001, 717755003, 783280001, 878800002, 741040001, 759952002, 814667001, 747045001, 834682004, 818031002, 457892003, 665668004, 895993001, 723353002, 701657001, 927865001, 671022001, 823118002, 743630001, 794819001, 866755001, 583534009, 764355004, 844483001, 627107005, 759480001, 849112001, 663160001, 861848004, 746861001, 553069002, 932365005, 610776023, 395575001, 580482011, 736887003, 776237020, 888727009, 523489001, 821057001, 733441003, 692833004, 704630003, 836267001, 733067004]"
742206143892321423,"[708459009, 559616002, 663744002, 664485001, 722437001, 802485002, 718501001, 707274001, 820026001, 516000017, 684186005, 695151001, 719348001, 401044002, 711028002, 608660004, 699193001, 771337002, 727641003, 769753002, 504154033, 936862001, 688558001, 710766003, 659854010, 772899002, 788248001, 610776002, 400296003, 659854020, 721320006, 485176007, 448509001, 887949002, 518328009, 731661001, 887949006, 863570001, 632642002, 880706005, 852535001, 690935002, 633131001, 869660001, 872172001, 740524001, 465655010, 727676001, 680188003, 761340002, 643985001, 660599017, 664209002, 781841001, 718278001, 710854001, 855926002, 787387001, 745702004, 900411001, 890683002, 789147006]"
864924092555922029,"[787925001, 827637001, 842245002, 857621003, 726229003, 860949002, 630714001, 759482001, 789119002, 693242014, 733076001, 732676001, 756132001, 808276001, 830313001, 835417002, 773897003, 701657003, 890766001, 586126002, 845614003, 879294003, 845790006, 675139002, 779827003, 735763003, 854920001, 839496004, 744600004, 918717001, 697054026, 721320010, 808653001, 830365003, 562498002, 539474002, 681373010, 862482002, 705031001, 660599001, 737852001, 828652002, 797084005, 886241001, 824310001, 829078001, 702790003, 859622001, 872278001]"
944382517877193631,"[693243009, 668864002, 733803009, 767813001, 736917005, 739590030, 702762001, 792058002, 626442009, 674100001, 832884008, 830185001, 857924010, 570002100, 615192007, 640541001, 686269005, 676667001, 864498001, 794567002, 820428001, 516000099, 529841001, 200182001, 702198001, 716950001, 763270001, 721990006, 673638007, 700966009, 786347002, 797078014]"
994274029659464183,"[868544001, 731280002, 835136002, 578816005, 621760008, 747045002, 616453004, 534357005, 633813004, 633808016, 630714001, 909914002, 700938003, 670698004, 713199001, 522725019, 679284001, 684340002, 713156003, 842724003, 691764006, 827359014, 670265001, 734569001, 749801001, 744393002, 660308016, 640542002, 720750002, 634009011, 797710002, 524825016, 649603001, 636323001, 685683001, 868163002, 827411006, 622958016, 399256001, 610776001, 646536001, 889379010, 761432005, 864216004, 742925001, 774151002, 795975003, 715052001, 726876002, 562245093, 843537001, 673638005, 909371001, 572998012]"
1012165760930071019,"[490176001, 878720001, 375585027, 836480003, 708352004, 646821001, 684341001, 561797003, 408875020, 707274001, 820026001, 653018001, 727615001, 628927001, 643535001, 899247005, 719348001, 711028002, 545258017, 496762018, 539209001, 496111018, 660308009, 662553002, 720473004, 780297006, 795417003, 775838001, 670942002, 719214003, 555550003, 823118001, 892558001, 659459001, 853251001, 514179003, 657283003, 510675005, 788248001, 610776001, 640664003, 680264001, 887949002, 887949006, 863570001, 893106001, 669874002, 880706005, 636359001, 690935002, 719639003, 516903008, 740524001, 738924001, 890684002, 681373027, 808305003, 710854001, 855926002, 616598002, 735094005, 900411001, 890683002]"
